execution_id,model,time_model_python
0996292a-fd83-4f80-b5a5-e1c44dd0efcd,Polyfit,7
90b4310e-c61a-41fa-8d86-96d7cd2408fd,CrossCorrelation,4
e6b42df5-db4f-4e1b-a252-92c240360d30,Multireg,10
7cc15428-8482-488b-88d2-d75063756e74,Multireg,10
7cc15428-8482-488b-88d2-d75063756e74,Polyfit,5
9b875bf4-42e5-477d-b1fc-ba5f8bf781ca,Polyfit,5
9b875bf4-42e5-477d-b1fc-ba5f8bf781ca,CrossCorrelation,2
9b875bf4-42e5-477d-b1fc-ba5f8bf781ca,Multireg,9
8d7c968d-aaab-4188-9cbd-0e56990d1c69,Polyfit,8
8d7c968d-aaab-4188-9cbd-0e56990d1c69,CrossCorrelation,2
8d7c968d-aaab-4188-9cbd-0e56990d1c69,Multireg,11
3484b6a3-42df-467f-9eaa-3b8ac55015d3,Polyfit,11
3484b6a3-42df-467f-9eaa-3b8ac55015d3,CrossCorrelation,2
3484b6a3-42df-467f-9eaa-3b8ac55015d3,Multireg,9
a914e9a0-f091-44e9-9df1-e417f893b02f,Polyfit,13
a914e9a0-f091-44e9-9df1-e417f893b02f,CrossCorrelation,2
a914e9a0-f091-44e9-9df1-e417f893b02f,Multireg,9
6e634f97-e9d1-4e9b-a797-f159f8cca01f,Polyfit,12
6e634f97-e9d1-4e9b-a797-f159f8cca01f,CrossCorrelation,3
6e634f97-e9d1-4e9b-a797-f159f8cca01f,Multireg,9
5566c932-36e2-4736-b4ae-220d3cc27096,Polyfit,40
5566c932-36e2-4736-b4ae-220d3cc27096,CrossCorrelation,14
5566c932-36e2-4736-b4ae-220d3cc27096,Multireg,40
696743f1-e89b-4817-a7fa-c0511dd94ee4,Polyfit,29
696743f1-e89b-4817-a7fa-c0511dd94ee4,CrossCorrelation,6
696743f1-e89b-4817-a7fa-c0511dd94ee4,Multireg,17
98d97e80-eae8-4df5-ac67-59922f8e62ee,Polyfit,33
98d97e80-eae8-4df5-ac67-59922f8e62ee,CrossCorrelation,7
98d97e80-eae8-4df5-ac67-59922f8e62ee,Multireg,35
c37fd64f-db5d-40e6-acd5-0cf56e7c0d21,Polyfit,33
c37fd64f-db5d-40e6-acd5-0cf56e7c0d21,CrossCorrelation,7
c37fd64f-db5d-40e6-acd5-0cf56e7c0d21,Multireg,17
503b3259-5e56-4e9b-92cb-1084bc320c62,Polyfit,93
