model,component,interest,sparsity,endog,exog,component_time,success,success_time,accuracy,execution_id
univariateTS,BO,0.7998943252853212,0.011494252873563218,1.0,2.0,27317.0,21.0,27312.0,0.7998943252853212,Cimice-200-2
timeDecisionTree,BO,0.6749373759043726,0.011494252873563218,1.0,2.0,218.0,20.0,-1.0,0.6749373759043726,Cimice-200-2
timeRandomForest,BO,0.5942601584649185,0.011494252873563218,1.0,2.0,452.0,20.0,-1.0,0.5942601584649185,Cimice-200-2
decisionTree,ALL,0.6738996548349425,0.011494252873563218,-1.0,-1.0,220.0,20.0,-1.0,0.6738996548349425,Cimice-200-2
randomForest,ALL,0.5942601584649185,0.011494252873563218,-1.0,-1.0,445.0,20.0,-1.0,0.5942601584649185,Cimice-200-2
univariateTS,BO,0.5425056515790888,0.3555555555555555,1,1,24293,20,22161,0.5065466490364356,Cimice-200-1
timeDecisionTree,BO,0.5842850887542431,0.3555555555555555,1,1,226,20,-1,0.5421029202774487,Cimice-200-1
timeRandomForest,BO,0.6441202737752116,0.3555555555555555,1,1,473,20,-1,0.6097226791061541,Cimice-200-1
decisionTree,ALL,0.7361649109688777,0.364963503649635,-1,-1,222,20,-1,0.7145189168805279,Cimice-200-1
randomForest,ALL,0.6441202737752116,0.364963503649635,-1,-1,528,20,-1,0.6097226791061541,Cimice-200-1
univariateTS,BO,0.5425056515790888,0.3555555555555555,1,1,29497,20,26576,0.5065466490364356,Cimice-200-1
timeDecisionTree,BO,0.5842850887542431,0.3555555555555555,1,1,220,20,-1,0.5421029202774487,Cimice-200-1
timeRandomForest,BO,0.6441202737752116,0.3555555555555555,1,1,465,20,-1,0.6097226791061541,Cimice-200-1
decisionTree,ALL,0.7361649109688777,0.364963503649635,-1,-1,282,20,-1,0.7145189168805279,Cimice-200-1
randomForest,ALL,0.6441202737752116,0.364963503649635,-1,-1,469,20,-1,0.6097226791061541,Cimice-200-1
univariateTS,BO,0.5425056515790888,0.3555555555555555,1,1,29830,20,26841,0.5065466490364356,Cimice-200-1
timeDecisionTree,BO,0.5842850887542431,0.3555555555555555,1,1,217,20,-1,0.5421029202774487,Cimice-200-1
timeRandomForest,BO,0.6441202737752116,0.3555555555555555,1,1,464,20,-1,0.6097226791061541,Cimice-200-1
decisionTree,ALL,0.7361649109688777,0.364963503649635,-1,-1,280,20,-1,0.7145189168805279,Cimice-200-1
randomForest,ALL,0.6441202737752116,0.364963503649635,-1,-1,470,20,-1,0.6097226791061541,Cimice-200-1
univariateTS,BO,0.5425056515790888,0.3555555555555555,1,1,30358,20,27251,0.5065466490364356,Cimice-200-1
timeDecisionTree,BO,0.5842850887542431,0.3555555555555555,1,1,223,20,-1,0.5421029202774487,Cimice-200-1
timeRandomForest,BO,0.6441202737752116,0.3555555555555555,1,1,467,20,-1,0.6097226791061541,Cimice-200-1
decisionTree,ALL,0.7361649109688777,0.364963503649635,-1,-1,274,20,-1,0.7145189168805279,Cimice-200-1
randomForest,ALL,0.6441202737752116,0.364963503649635,-1,-1,467,20,-1,0.6097226791061541,Cimice-200-1
univariateTS,BO,0.5425056515790888,0.3555555555555555,1,1,34018,20,30551,0.5065466490364356,Cimice-200-1
timeDecisionTree,BO,0.5842850887542431,0.3555555555555555,1,1,224,20,-1,0.5421029202774487,Cimice-200-1
timeRandomForest,BO,0.6441202737752116,0.3555555555555555,1,1,514,20,-1,0.6097226791061541,Cimice-200-1
decisionTree,ALL,0.7361649109688777,0.364963503649635,-1,-1,285,20,-1,0.7145189168805279,Cimice-200-1
randomForest,ALL,0.6441202737752116,0.364963503649635,-1,-1,484,20,-1,0.6097226791061541,Cimice-200-1
univariateTS,BO,0.1503619540674462,0.362962962962963,1.0,0.0,27161.0,21.0,27157.0,0.0856260424948981,Cimice-200-0
timeDecisionTree,BO,-0.5919094466420796,0.362962962962963,1.0,0.0,211.0,20.0,-1.0,-0.7970206942835834,Cimice-200-0
timeRandomForest,BO,-0.2902193992468762,0.362962962962963,1.0,0.0,439.0,20.0,-1.0,-0.462878271858415,Cimice-200-0
