execution_id,model,time
Cimice-200-2,pivot,4
Cimice-200-2,univariateTS,27889
Cimice-200-2,timeDecisionTree,625
Cimice-200-2,timeRandomForest,860
Cimice-200-2,decisionTree,220
Cimice-200-2,randomForest,445
Cimice-200-1,pivot,4
Cimice-200-1,univariateTS,24927
Cimice-200-1,timeDecisionTree,598
Cimice-200-1,timeRandomForest,852
Cimice-200-1,decisionTree,213
Cimice-200-1,randomForest,440
Cimice-200-0,pivot,6
Cimice-200-0,univariateTS,27774
Cimice-200-0,timeDecisionTree,611
Cimice-200-0,timeRandomForest,843
Cimice-200-0,decisionTree,212
Cimice-200-0,randomForest,441
aebfb2ac-5177-4209-91c9-9f5062f888ff,pivot,1
80936534-25cc-4adf-9dd5-726f3312ecf0,pivot,1
faf2eb8a-6297-48a9-948c-eb3fb1957b89,pivot,1
8178811c-563e-43c2-85d1-1ecc400150d3,pivot,1
8afe0f06-be7d-41c3-b125-059c01ce13ea,pivot,1
250d1ed4-605b-4d55-aa39-70d631c933d9,pivot,1
250d1ed4-605b-4d55-aa39-70d631c933d9,timeRandomForest,946
250d1ed4-605b-4d55-aa39-70d631c933d9,univariateTS,12492
d4c1360e-e910-4517-93be-48578e325eb7,pivot,1
d4c1360e-e910-4517-93be-48578e325eb7,timeDecisionTree,717
6073bb26-8e2d-40d1-89c0-73687020dd5b,pivot,1
9c8885ba-eacd-4340-afa4-a78bca78c04d,pivot,1
17d58074-f0f3-400b-920f-392efd139705,pivot,1
6e02ab6c-81da-4fa5-af10-a5f2dd5ab0f7,pivot,1
6e02ab6c-81da-4fa5-af10-a5f2dd5ab0f7,univariateTS,77283
7eba4d84-7d9d-45c4-81ce-e3a924092c8f,pivot,1
7eba4d84-7d9d-45c4-81ce-e3a924092c8f,randomForest,1
744047fa-1c4b-4682-a439-255dd54676d4,pivot,1
744047fa-1c4b-4682-a439-255dd54676d4,univariateTS,64511
597b74cc-7d0e-44fa-9902-a256e6ce438b,pivot,1
597b74cc-7d0e-44fa-9902-a256e6ce438b,univariateTS,48
I-122-12-6,pivot,4
I-122-12-6,timeDecisionTree,28090
I-122-12-6,timeRandomForest,30605
I-122-12-6,univariateTS,277696
I-122-12-6,decisionTree,233
I-122-12-6,randomForest,489
I-122-9-5,pivot,5
I-122-9-5,timeDecisionTree,16824
I-122-9-5,timeRandomForest,18356
I-122-9-5,univariateTS,197500
I-122-9-5,decisionTree,224
I-122-9-5,randomForest,469
I-122-6-4,pivot,4
I-122-6-4,univariateTS,129093
I-122-6-4,multivariateTS,81239
I-122-6-4,timeDecisionTree,8120
I-122-6-4,timeRandomForest,9355
I-122-6-4,decisionTree,221
I-122-6-4,randomForest,454
I-122-5-3,pivot,4
I-122-5-3,univariateTS,99999
I-122-5-3,multivariateTS,210697
I-122-5-3,timeDecisionTree,5958
I-122-5-3,timeRandomForest,7084
I-122-5-3,decisionTree,215
I-122-5-3,randomForest,454
I-122-4-2,pivot,4
I-122-4-2,univariateTS,80968
I-122-4-2,multivariateTS,99209
I-122-4-2,timeDecisionTree,4026
I-122-4-2,timeRandomForest,4846
I-122-4-2,decisionTree,212
I-122-4-2,randomForest,447
I-122-3-1,pivot,6
I-122-3-1,univariateTS,58517
I-122-3-1,multivariateTS,40610
I-122-3-1,timeDecisionTree,2595
I-122-3-1,timeRandomForest,3339
I-122-3-1,decisionTree,240
I-122-3-1,randomForest,469
I-122-2-0,pivot,6
I-122-2-0,univariateTS,39705
I-122-2-0,multivariateTS,14504
I-122-2-0,timeDecisionTree,1350
I-122-2-0,timeRandomForest,1864
I-122-2-0,decisionTree,207
I-122-2-0,randomForest,442
I-120-12-6,pivot,7
I-120-12-6,timeDecisionTree,29275
I-120-12-6,timeRandomForest,32086
I-120-12-6,univariateTS,1867733
I-120-12-6,decisionTree,479
I-120-12-6,randomForest,1016
I-120-12-5,pivot,6
I-120-12-5,timeDecisionTree,30061
I-120-12-5,timeRandomForest,32902
I-120-12-5,univariateTS,1316558
I-120-12-5,decisionTree,377
I-120-12-5,randomForest,821
I-120-12-4,pivot,5
I-120-12-4,timeDecisionTree,29041
