week_in_year,adults!BO,small_instars!BO,total_captures!BO,model
2022-04-25,,0.0,13.0,train
2022-05-02,27.0,0.0,27.0,train
2022-05-09,20.0,0.0,20.0,train
2022-05-16,35.73333333,0.0,35.73333333,train
2022-05-23,28.26666667,0.0,28.26666667,train
2022-05-30,27.4,0.0,27.4,train
2022-06-06,27.6,0.0,27.6,train
2022-06-13,12.0,0.0,12.0,train
2022-06-20,16.0,0.0,16.0,train
2022-06-27,65.0,129.0,194.0,train
2022-07-04,43.0,209.0,261.0,train
2022-07-11,24.0,115.0,169.0,train
2022-07-18,44.0,83.0,189.0,train
2022-07-25,104.0,89.0,264.0,train
2022-08-01,85.0,106.0,260.0,train
2022-08-08,106.0,51.0,207.0,train
2022-08-15,53.0,98.0,178.0,train
2022-08-22,415.0,380.0,876.0,train
2022-08-29,345.5384615,317.6153846,749.9230769,train
2022-09-05,252.4615385,239.3846154,615.0769231,train
2022-09-12,376.0,197.0,714.0,train
2022-09-19,602.0,124.0,953.0,train
2022-09-26,645.0,21.0,791.0,train
2022-10-03,806.0,25.0,915.0,train
2022-10-10,773.0,7.0,828.0,train
2022-10-17,827.0,0.0,861.0,train
2022-10-24,600.0,0.0,612.0,train
2022-10-31,400.0,0.0,405.0,train
2022-11-07,200.0,0.0,200.0,train
2022-11-14,50.0,0.0,50.0,train
2022-11-21,10.0,0.0,10.0,train
2022-11-28,0.0,0.0,0.0,train
2022-12-05,0.0,0.0,0.0,train
2022-12-12,0.0,0.0,0.0,train
2022-12-19,0.0,0.0,0.0,train
2022-12-26,0.0,0.0,0.0,train
2023-01-02,0.0,0.0,0.0,train
2023-01-09,0.0,0.0,0.0,train
2023-01-16,0.0,0.0,0.0,train
2023-01-23,0.0,0.0,0.0,train
2023-01-30,0.0,0.0,0.0,train
2023-02-06,0.0,0.0,0.0,train
2023-02-13,0.0,0.0,0.0,train
2023-02-20,0.0,0.0,0.0,train
2023-02-27,0.0,0.0,0.0,train
2023-03-06,0.0,0.0,0.0,train
2023-03-13,0.0,0.0,0.0,train
2023-03-20,0.0,0.0,0.0,train
2023-03-27,0.0,0.0,0.0,train
2023-04-03,5.0,0.0,5.0,train
2023-04-10,15.0,0.0,15.0,train
2023-04-17,20.0,0.0,20.0,train
2023-04-24,39.0,0.0,39.0,train
2023-05-01,55.0,0.0,55.0,train
2023-05-08,55.0,0.0,55.0,train
2023-05-15,70.0,0.0,70.0,train
2023-05-22,65.0,0.0,65.0,train
2023-05-29,57.0,0.0,57.0,train
2023-06-05,74.0,0.0,74.0,train
2023-06-12,71.0,5.0,76.0,train
2023-06-19,53.0,152.0,206.0,train
2023-06-26,34.0,277.0,325.0,train
2023-07-03,26.0,165.0,220.0,train
2023-07-10,28.0,213.0,243.0,train
2023-07-17,105.0,170.0,329.0,train
2023-07-24,160.0,87.0,286.0,train
2023-07-31,200.0,139.0,359.0,train
2023-08-07,205.0,115.0,353.0,train
2023-08-14,241.0,194.0,467.0,train
2023-08-21,190.0,148.0,384.0,train
2023-08-28,265.0,116.0,434.5,train
2023-09-04,410.8461538,15.0,501.3461538,train
2023-09-11,614.1538462,6.0,642.1538462,train
